quality	fixed_acidity	volatile_acidity	citric_acid	residual_sugar	chlorides	free_sulfur_dioxide	total_sulfur_dioxide	density	pH	sulphates	alcohol
5	7.8	0.88	0	2.6	0.098	25	67	0.9968	3.2	0.68	9.8
5	7.4	0.7	0	1.9	0.076	11	34	0.9978	3.51	0.56	9.4
7	7.3	0.65	0	1.2	0.065	15	21	0.9946	3.39	0.47	10
5	6.7	0.58	0.08	1.8	0.097	15	65	0.9959	3.28	0.54	9.2
5	7.8	0.61	0.29	1.6	0.114	9	29	0.9974	3.26	1.56	9.1
7	8.5	0.28	0.56	1.8	0.092	35	103	0.9969	3.3	0.75	10.5
6	7.9	0.32	0.51	1.8	0.341	17	56	0.9969	3.04	1.08	9.2
5	7.9	0.43	0.21	1.6	0.106	10	37	0.9966	3.17	0.91	9.5
5	6.3	0.39	0.16	1.4	0.08	11	23	0.9955	3.34	0.56	9.3
5	7.1	0.71	0	1.9	0.08	14	35	0.9972	3.47	0.55	9.4
6	6.9	0.685	0	2.5	0.105	22	37	0.9966	3.46	0.57	10.6
5	5.2	0.32	0.25	1.8	0.103	13	50	0.9957	3.38	0.55	9.2
7	8.1	0.38	0.28	2.1	0.066	13	30	0.9968	3.23	0.73	9.7
5	7.3	0.45	0.36	5.9	0.074	12	87	0.9978	3.33	0.83	10.5
5	8.1	0.66	0.22	2.2	0.069	9	23	0.9968	3.3	1.2	10.3
5	7.7	0.935	0.43	2.2	0.114	22	114	0.997	3.25	0.73	9.2
5	5.6	0.31	0.37	1.4	0.074	12	96	0.9954	3.32	0.58	9.2
6	6.6	0.5	0.04	2.1	0.068	6	14	0.9955	3.39	0.64	9.4
5	7.7	0.62	0.04	3.8	0.084	25	45	0.9978	3.34	0.53	9.5
5	7.8	0.59	0.18	2.3	0.076	17	54	0.9975	3.43	0.59	10
5	7.7	0.69	0.49	1.8	0.115	20	112	0.9968	3.21	0.71	9.3
5	7.2	0.725	0.05	4.65	0.086	4	11	0.9962	3.41	0.39	10.9
5	6.6	0.705	0.07	1.6	0.076	6	15	0.9962	3.44	0.58	10.7
6	7.7	0.63	0.08	1.9	0.076	15	27	0.9967	3.32	0.54	9.5
4	8.3	0.675	0.26	2.1	0.084	11	43	0.9976	3.31	0.53	9.2
5	8.8	0.41	0.64	2.2	0.093	9	42	0.9986	3.54	0.66	10.5
4	8.3	0.625	0.2	1.5	0.08	27	119	0.9972	3.16	1.12	9.1
5	7.4	0.5	0.47	2	0.086	21	73	0.997	3.36	0.57	9.1
5	6.9	0.55	0.15	2.2	0.076	19	40	0.9961	3.41	0.59	10.1
5	9.3	0.39	0.44	2.1	0.107	34	125	0.9978	3.14	1.22	9.5
6	8.6	0.49	0.28	1.9	0.11	20	136	0.9972	2.93	1.95	9.9
4	5	1.02	0.04	1.4	0.045	41	85	0.9938	3.75	0.48	10.5
5	7	0.5	0.25	2	0.07	3	22	0.9963	3.25	0.63	9.2
6	8.3	0.61	0.3	2.1	0.084	11	50	0.9972	3.4	0.61	10.2
5	8.1	0.575	0.22	2.1	0.077	12	65	0.9967	3.29	0.51	9.2
5	7.8	0.41	0.68	1.7	0.467	18	69	0.9973	3.08	1.31	9.3
5	8.1	0.785	0.52	2	0.122	37	153	0.9969	3.21	0.69	9.3
5	8.4	0.6	0.1	2.2	0.085	14	111	0.9964	3.15	0.66	9.8
6	9.4	0.4	0.31	2.2	0.09	13	62	0.9966	3.07	0.63	10.5
6	8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9
6	8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9
5	7.8	0.5	0.17	1.6	0.082	21	102	0.996	3.39	0.48	9.5
5	8.1	1.33	0	1.8	0.082	3	12	0.9964	3.54	0.48	10.9
5	8	0.745	0.56	2	0.118	30	134	0.9968	3.24	0.66	9.4
6	6.6	0.5	0.01	1.5	0.06	17	26	0.9952	3.4	0.58	9.8
5	8.3	0.715	0.15	1.8	0.089	10	52	0.9968	3.23	0.77	9.5
5	7.8	0.56	0.19	2	0.081	17	108	0.9962	3.32	0.54	9.5
6	5.2	0.34	0	1.8	0.05	27	63	0.9916	3.68	0.79	14
5	8.1	0.67	0.55	1.8	0.117	32	141	0.9968	3.17	0.62	9.4
6	6.9	0.49	0.1	2.3	0.074	12	30	0.9959	3.42	0.58	10.2
4	9.2	0.52	1	3.4	0.61	32	69	0.9996	2.74	2.0	9.4
5	7.1	0.43	0.42	5.5	0.07	29	129	0.9973	3.42	0.72	10.5
5	7.1	0.43	0.42	5.5	0.071	28	128	0.9973	3.42	0.71	10.5
5	7.6	0.95	0.03	2	0.09	7	20	0.9959	3.2	0.56	9.6
5	7.4	0.6	0.26	7.3	0.07	36	121	0.9982	3.37	0.49	9.4
5	6.8	0.64	0.1	2.1	0.085	18	101	0.9956	3.34	0.52	10.2
5	7.5	0.705	0.24	1.8	0.36	15	63	0.9964	3	1.59	9.5
6	8	0.42	0.17	2	0.073	6	18	0.9972	3.29	0.61	9.2
5	6.9	0.5	0.04	1.5	0.085	19	49	0.9958	3.35	0.78	9.5
5	7	0.805	0	2.5	0.068	7	20	0.9969	3.48	0.56	9.6
5	8.9	0.61	0.49	2	0.27	23	110	0.9972	3.12	1.02	9.3
6	6.7	0.62	0.21	1.9	0.079	8	62	0.997	3.52	0.58	9.3
5	7.7	0.705	0.1	2.6	0.084	9	26	0.9976	3.39	0.49	9.7
5	8.2	0.5	0.35	2.9	0.077	21	127	0.9976	3.23	0.62	9.4
5	7.6	0.55	0.21	2.2	0.071	7	28	0.9964	3.28	0.55	9.7
5	7.3	0.58	0.3	2.4	0.074	15	55	0.9968	3.46	0.59	10.2
4	6.9	1.09	0.06	2.1	0.061	12	31	0.9948	3.51	0.43	11.4
5	6.8	0.5	0.11	1.5	0.075	16	49	0.99545	3.36	0.79	9.5
7	12.8	0.3	0.74	2.6	0.095	9	28	0.9994	3.2	0.77	10.8
5	7.8	0.44	0.28	2.7	0.1	18	95	0.9966	3.22	0.67	9.4
6	8	0.725	0.24	2.8	0.083	10	62	0.99685	3.35	0.56	10
6	7.8	0.735	0.08	2.4	0.092	10	41	0.9974	3.24	0.71	9.8
5	8.1	0.725	0.22	2.2	0.072	11	41	0.9967	3.36	0.55	9.1
6	7.8	0.34	0.37	2	0.082	24	58	0.9964	3.34	0.59	9.4
6	8.6	0.645	0.25	2	0.083	8	28	0.99815	3.28	0.6	10
6	8.9	0.59	0.5	2	0.337	27	81	0.9964	3.04	1.61	9.5
5	6.9	0.52	0.25	2.6	0.081	10	37	0.99685	3.46	0.5	11
6	8.5	0.37	0.2	2.8	0.09	18	58	0.998	3.34	0.7	9.6
6	7.2	0.63	0	1.9	0.097	14	38	0.99675	3.37	0.58	9
6	7.2	0.63	0	1.9	0.097	14	38	0.99675	3.37	0.58	9
6	12	0.38	0.56	2.1	0.093	6	24	0.99925	3.14	0.71	10.9
7	15	0.21	0.44	2.2	0.075	10	24	1.00005	3.07	0.84	9.2
5	8.2	0.6	0.17	2.3	0.072	11	73	0.9963	3.2	0.45	9.3
6	10.8	0.32	0.44	1.6	0.063	16	37	0.9985	3.22	0.78	10
5	7.7	0.775	0.42	1.9	0.092	8	86	0.9959	3.23	0.59	9.5
5	9.4	0.34	0.37	2.2	0.075	5	13	0.998	3.22	0.62	9.2
7	10	0.31	0.47	2.6	0.085	14	33	0.99965	3.36	0.8	10.5
5	8	0.52	0.03	1.7	0.07	10	35	0.99575	3.34	0.57	10
7	11.8	0.26	0.52	1.8	0.071	6	10	0.9968	3.2	0.72	10.2
6	6.9	0.54	0.04	3	0.077	7	27	0.9987	3.69	0.91	9.4
6	11.5	0.18	0.51	4	0.104	4	23	0.9996	3.28	0.97	10.1
5	7.5	0.65	0.18	7	0.088	27	94	0.99915	3.38	0.77	9.4
6	11.5	0.18	0.51	4	0.104	4	23	0.9996	3.28	0.97	10.1
6	11.4	0.26	0.44	3.6	0.071	6	19	0.9986	3.12	0.82	9.3
7	8.9	0.4	0.32	5.6	0.087	10	47	0.9991	3.38	0.77	10.5
6	12	0.45	0.55	2	0.073	25	49	0.9997	3.1	0.76	10.3
5	11.6	0.42	0.53	3.3	0.105	33	98	1.001	3.2	0.95	9.2
6	10.4	0.55	0.23	2.7	0.091	18	48	0.9994	3.22	0.64	10.3
5	10.8	0.5	0.46	2.5	0.073	5	27	1.0001	3.05	0.64	9.5
5	7.2	0.65	0.02	2.3	0.094	5	31	0.9993	3.67	0.8	9.7
6	11.1	0.18	0.48	1.5	0.068	7	15	0.9973	3.22	0.64	10.1
5	8.4	0.65	0.6	2.1	0.112	12	90	0.9973	3.2	0.52	9.2
6	10.3	0.41	0.42	2.4	0.213	6	14	0.9994	3.19	0.62	9.5
6	10.3	0.53	0.48	2.5	0.063	6	25	0.9998	3.12	0.59	9.3
5	8.6	0.47	0.3	3	0.076	30	135	0.9976	3.3	0.53	9.4
5	9.6	0.56	0.23	3.4	0.102	37	92	0.9996	3.3	0.65	10.1
6	9.6	0.77	0.12	2.9	0.082	30	74	0.99865	3.3	0.64	10.4
5	7.8	0.62	0.05	2.3	0.079	6	18	0.99735	3.29	0.63	9.3
6	10	0.49	0.2	11	0.071	13	50	1.0015	3.16	0.69	9.2
6	13.4	0.27	0.62	2.6	0.082	6	21	1.0002	3.16	0.67	9.7
6	10.2	0.36	0.64	2.9	0.122	10	41	0.998	3.23	0.66	12.5
7	7.9	0.65	0.01	2.5	0.078	17	38	0.9963	3.34	0.74	11.7
5	7.8	0.43	0.32	2.8	0.08	29	58	0.9974	3.31	0.64	10.3
6	12.2	0.34	0.5	2.4	0.066	10	21	1	3.12	1.18	9.2
6	10.9	0.39	0.47	1.8	0.118	6	14	0.9982	3.3	0.75	9.8
7	6.6	0.815	0.02	2.7	0.072	17	34	0.9955	3.58	0.89	12.3
6	9.1	0.785	0	2.6	0.093	11	28	0.9994	3.36	0.86	9.4
5	7.7	0.665	0	2.4	0.09	8	19	0.9974	3.27	0.73	9.3
6	6.7	0.75	0.01	2.4	0.078	17	32	0.9955	3.55	0.61	12.8
7	11.9	0.43	0.66	3.1	0.109	10	23	1	3.15	0.85	10.4
6	8.6	0.45	0.31	2.6	0.086	21	50	0.9982	3.37	0.91	9.9
7	12.8	0.615	0.66	5.8	0.083	7	42	1.0022	3.07	0.73	10
5	10.4	0.575	0.61	2.6	0.076	11	24	1	3.16	0.69	9
5	6.9	0.765	0.02	2.3	0.063	35	63	0.9975	3.57	0.78	9.9
5	7.4	0.55	0.22	2.2	0.106	12	72	0.9959	3.05	0.63	9.2
6	11.5	0.45	0.5	3	0.078	19	47	1.0003	3.26	1.11	11
6	8.3	0.42	0.38	2.5	0.094	24	60	0.9979	3.31	0.7	10.8
6	8.3	0.26	0.42	2	0.08	11	27	0.9974	3.21	0.8	9.4
6	7.4	0.63	0.07	2.4	0.09	11	37	0.9979	3.43	0.76	9.7
6	7.8	0.46	0.26	1.9	0.088	23	53	0.9981	3.43	0.74	9.2
6	13.7	0.415	0.68	2.9	0.085	17	43	1.0014	3.06	0.8	10
5	12.7	0.6	0.65	2.3	0.063	6	25	0.9997	3.03	0.57	9.9
6	11.5	0.59	0.59	2.6	0.087	13	49	0.9988	3.18	0.65	11
5	6.6	0.735	0.02	7.9	0.122	68	124	0.9994	3.47	0.53	9.9
6	11.4	0.6	0.49	2.7	0.085	10	41	0.9994	3.15	0.63	10.5
6	9.8	0.44	0.47	2.5	0.063	9	28	0.9981	3.24	0.65	10.8
4	12.5	0.46	0.49	4.5	0.07	26	49	0.9981	3.05	0.57	9.6
5	7.1	0.735	0.16	1.9	0.1	15	77	0.9966	3.27	0.64	9.3
5	8.6	0.725	0.24	6.6	0.117	31	134	1.0014	3.32	1.07	9.3
6	11.9	0.38	0.51	2	0.121	7	20	0.9996	3.24	0.76	10.4
7	6.6	0.84	0.03	2.3	0.059	32	48	0.9952	3.52	0.56	12.3
5	7.7	0.96	0.2	2	0.047	15	60	0.9955	3.36	0.44	10.9
6	9.5	0.78	0.22	1.9	0.077	6	32	0.9988	3.26	0.56	10.6
7	10.5	0.24	0.47	2.1	0.066	6	24	0.9978	3.15	0.9	11
5	12.3	0.39	0.63	2.3	0.091	6	18	1.0004	3.16	0.49	9.5
6	8	0.67	0.3	2	0.06	38	62	0.9958	3.26	0.56	10.2
5	7	0.62	0.18	1.5	0.062	7	50	0.9951	3.08	0.6	9.3
7	15.6	0.685	0.76	3.7	0.1	6	43	1.0032	2.95	0.68	11.2
6	9.5	0.735	0.1	2.1	0.079	6	31	0.9986	3.23	0.56	10.1
6	8.6	0.53	0.22	2	0.1	7	27	0.9967	3.2	0.56	10.2
6	8.4	0.37	0.53	1.8	0.413	9	26	0.9979	3.06	1.06	9.1
5	7	0.23	0.4	1.6	0.063	21	67	0.9952	3.5	0.63	11.1
5	9.2	0.63	0.21	2.7	0.097	29	65	0.9988	3.28	0.58	9.6
6	9.2	0.43	0.52	2.3	0.083	14	23	0.9976	3.35	0.61	11.3
5	8.1	0.66	0.7	2.2	0.098	25	129	0.9972	3.08	0.53	9
6	10.3	0.5	0.42	2	0.069	21	51	0.9982	3.16	0.72	11.5
5	8.7	0.82	0.02	1.2	0.07	36	48	0.9952	3.2	0.58	9.8
6	12.5	0.37	0.55	2.6	0.083	25	68	0.9995	3.15	0.82	10.4
5	9.6	0.68	0.24	2.2	0.087	5	28	0.9988	3.14	0.6	10.2
5	9.6	0.68	0.24	2.2	0.087	5	28	0.9988	3.14	0.6	10.2
8	9.4	0.3	0.56	2.8	0.08	6	17	0.9964	3.15	0.92	11.7
6	10.6	0.44	0.68	4.1	0.114	6	24	0.997	3.06	0.66	13.4
6	10.2	0.645	0.36	1.8	0.053	5	14	0.9982	3.17	0.42	10
6	9.3	0.775	0.27	2.8	0.078	24	56	0.9984	3.31	0.67	10.6
6	8.7	0.69	0.31	3	0.086	23	81	1.0002	3.48	0.74	11.6
6	7.8	0.52	0.25	1.9	0.081	14	38	0.9984	3.43	0.65	9
6	8.7	0.69	0.31	3	0.086	23	81	1.0002	3.48	0.74	11.6
7	10.4	0.44	0.73	6.55	0.074	38	76	0.999	3.17	0.85	12
7	10.2	0.49	0.63	2.9	0.072	10	26	0.9968	3.16	0.78	12.5
6	10	0.59	0.31	2.2	0.09	26	62	0.9994	3.18	0.63	10.2
6	10	0.59	0.31	2.2	0.09	26	62	0.9994	3.18	0.63	10.2
7	10.5	0.51	0.64	2.4	0.107	6	15	0.9973	3.09	0.66	11.8
3	10.4	0.61	0.49	2.1	0.2	5	16	0.9994	3.16	0.63	8.4
6	9.8	0.25	0.49	2.7	0.088	15	33	0.9982	3.42	0.9	10
5	9.3	0.4	0.49	2.5	0.085	38	142	0.9978	3.22	0.55	9.4
5	7.3	0.365	0.49	2.5	0.088	39	106	0.9966	3.36	0.78	11
5	9.9	0.63	0.24	2.4	0.077	6	33	0.9974	3.09	0.57	9.4
5	11.9	0.38	0.49	2.7	0.098	12	42	1.0004	3.16	0.61	10.3
6	9.1	0.22	0.24	2.1	0.078	1	28	0.999	3.41	0.87	10.3
7	12.9	0.35	0.49	5.8	0.066	5	35	1.0014	3.2	0.66	12
6	9.5	0.46	0.49	6.3	0.064	5	17	0.9988	3.21	0.73	11
6	14.3	0.31	0.74	1.8	0.075	6	15	1.0008	2.86	0.79	8.4
6	10.6	0.31	0.49	2.5	0.067	6	21	0.9987	3.26	0.86	10.7
6	6.8	0.51	0.01	2.1	0.074	9	25	0.9958	3.33	0.56	9.5
5	5	1.04	0.24	1.6	0.05	32	96	0.9934	3.74	0.62	11.5
6	10.9	0.53	0.49	4.6	0.118	10	17	1.0002	3.07	0.56	11.7
6	13	0.47	0.49	4.3	0.085	6	47	1.0021	3.3	0.68	12.7
5	9	0.54	0.49	2.9	0.094	41	110	0.9982	3.08	0.61	9.2
5	12.7	0.6	0.49	2.8	0.075	5	19	0.9994	3.14	0.57	11.4
6	9.8	0.5	0.49	2.6	0.25	5	20	0.999	3.31	0.79	10.7
6	6.2	0.36	0.24	2.2	0.095	19	42	0.9946	3.57	0.57	11.7
6	10.6	0.34	0.49	3.2	0.078	20	78	0.9992	3.19	0.7	10
5	8.8	0.44	0.49	2.8	0.083	18	111	0.9982	3.3	0.6	9.5
5	12.3	0.5	0.49	2.2	0.089	5	14	1.0002	3.19	0.44	9.6
7	12	0.28	0.49	1.9	0.074	10	21	0.9976	2.98	0.66	9.9
7	11.1	0.31	0.49	2.7	0.094	16	47	0.9986	3.12	1.02	10.6
7	10.2	0.29	0.49	2.6	0.059	5	13	0.9976	3.05	0.74	10.5
5	9	0.45	0.49	2.6	0.084	21	75	0.9987	3.35	0.57	9.7
5	8.9	0.595	0.41	7.9	0.086	30	109	0.9998	3.27	0.57	9.3
6	8.5	0.585	0.18	2.1	0.078	5	30	0.9967	3.2	0.48	9.8
6	13.2	0.46	0.52	2.2	0.071	12	35	1.0006	3.1	0.56	9
6	8.3	0.58	0.13	2.9	0.096	14	63	0.9984	3.17	0.62	9.1
6	8.8	0.48	0.41	3.3	0.092	26	52	0.9982	3.31	0.53	10.5
5	8.8	0.24	0.54	2.5	0.083	25	57	0.9983	3.39	0.54	9.2
5	8.2	0.39	0.38	1.5	0.058	10	29	0.9962	3.26	0.74	9.8
5	9.6	0.6	0.5	2.3	0.079	28	71	0.9997	3.5	0.57	9.7
5	11.3	0.37	0.41	2.3	0.088	6	16	0.9988	3.09	0.8	9.3
5	10	0.58	0.22	1.9	0.08	9	32	0.9974	3.13	0.55	9.5
5	6.8	0.69	0	5.6	0.124	21	58	0.9997	3.46	0.72	10.2
6	8.7	0.54	0.26	2.5	0.097	7	31	0.9976	3.27	0.6	9.3
5	10.4	0.28	0.54	2.7	0.105	5	19	0.9988	3.25	0.63	9.5
5	7.9	0.35	0.21	1.9	0.073	46	102	0.9964	3.27	0.58	9.5
5	9.5	0.885	0.27	2.3	0.084	31	145	0.9978	3.24	0.53	9.4
5	9.9	0.54	0.45	2.3	0.071	16	40	0.9991	3.39	0.62	9.4
5	9.5	0.59	0.44	2.3	0.071	21	68	0.9992	3.46	0.63	9.5
5	7.3	0.67	0.05	3.6	0.107	6	20	0.9972	3.4	0.63	10.1
6	6.7	0.42	0.27	8.6	0.068	24	148	0.9948	3.16	0.57	11.3
5	15.9	0.36	0.65	7.5	0.096	22	71	0.9976	2.98	0.84	14.9
5	9.7	0.55	0.17	2.9	0.087	20	53	1.0004	3.14	0.61	9.4
6	7.2	0.52	0.07	1.4	0.074	5	20	0.9973	3.32	0.81	9.6
5	7.5	0.42	0.31	1.6	0.08	15	42	0.9978	3.31	0.64	9
5	12.1	0.4	0.52	2	0.092	15	54	1	3.03	0.66	10.2
6	11.3	0.34	0.45	2	0.082	6	15	0.9988	2.94	0.66	9.2
5	6.9	0.4	0.24	2.5	0.083	30	45	0.9959	3.26	0.58	10
5	8.2	0.73	0.21	1.7	0.074	5	13	0.9968	3.2	0.52	9.5
6	10.8	0.4	0.41	2.2	0.084	7	17	0.9984	3.08	0.67	9.3
5	10.8	0.26	0.45	3.3	0.06	20	49	0.9972	3.13	0.54	9.6
5	8.5	0.46	0.31	2.25	0.078	32	58	0.998	3.33	0.54	9.8
5	8.1	0.78	0.23	2.6	0.059	5	15	0.997	3.37	0.56	11.3
5	7.7	0.66	0.04	1.6	0.039	4	9	0.9962	3.4	0.47	9.4
5	9.2	0.92	0.24	2.6	0.087	12	93	0.9998	3.48	0.54	9.8
5	9	0.47	0.31	2.7	0.084	24	125	0.9984	3.31	0.61	9.4
6	7	0.65	0.02	2.1	0.066	8	25	0.9972	3.47	0.67	9.5
6	10.6	1.02	0.43	2.9	0.076	26	88	0.9984	3.08	0.57	10.1
4	7.5	0.38	0.48	2.6	0.073	22	84	0.9972	3.32	0.7	9.6
5	7	0.78	0.08	2	0.093	10	19	0.9956	3.4	0.47	10
6	9.7	0.31	0.47	1.6	0.062	13	33	0.9983	3.27	0.66	10
5	8.7	0.69	0	3.2	0.084	13	33	0.9992	3.36	0.45	9.4
6	7.2	0.49	0.18	2.7	0.069	13	34	0.9967	3.29	0.48	9.2
5	8.4	0.56	0.04	2	0.082	10	22	0.9976	3.22	0.44	9.6
5	8.9	0.48	0.24	2.85	0.094	35	106	0.9982	3.1	0.53	9.2
4	7.5	1.115	0.1	3.1	0.086	5	12	0.9958	3.54	0.6	11.2
5	6.4	0.57	0.02	1.8	0.067	4	11	0.997	3.46	0.68	9.5
5	9.5	0.55	0.66	2.3	0.387	12	37	0.9982	3.17	0.67	9.6
5	7	0.45	0.34	2.7	0.082	16	72	0.998	3.55	0.6	9.5
5	7.7	0.965	0.1	2.1	0.112	11	22	0.9963	3.26	0.5	9.5
5	9	0.69	0	2.4	0.088	19	38	0.999	3.35	0.6	9.3
5	6.5	0.615	0	1.9	0.065	9	18	0.9972	3.46	0.65	9.2
6	7.3	0.51	0.18	2.1	0.07	12	28	0.99768	3.52	0.73	9.5
6	7.2	0.5	0.18	2.1	0.071	12	31	0.99761	3.52	0.72	9.6
5	8.3	0.65	0.1	2.9	0.089	17	40	0.99803	3.29	0.55	9.5
6	7.8	0.48	0.68	1.7	0.415	14	32	0.99656	3.09	1.06	9.1
5	8.1	0.87	0	2.2	0.084	10	31	0.99656	3.25	0.5	9.8
5	9	0.58	0.25	2.8	0.075	9	104	0.99779	3.23	0.57	9.7
5	9.3	0.655	0.26	2	0.096	5	35	0.99738	3.25	0.42	9.6
5	8.8	0.59	0.18	2.9	0.089	12	74	0.99738	3.14	0.54	9.4
5	7.9	0.72	0.01	1.9	0.076	7	32	0.99668	3.39	0.54	9.6
5	9.5	0.57	0.27	2.3	0.082	23	144	0.99782	3.27	0.55	9.4
5	7.2	1	0	3	0.102	7	16	0.99586	3.43	0.46	10
5	8.3	0.43	0.3	3.4	0.079	7	34	0.99788	3.36	0.61	10.5
5	6.5	0.46	0.14	2.4	0.114	9	37	0.99732	3.66	0.65	9.8
5	7.1	0.59	0.01	2.5	0.077	20	85	0.99746	3.55	0.59	9.8
6	10	0.56	0.24	2.2	0.079	19	58	0.9991	3.18	0.56	10.1
6	7.4	0.37	0.43	2.6	0.082	18	82	0.99708	3.33	0.68	9.7
5	7.7	0.6	0	2.6	0.055	7	13	0.99639	3.38	0.56	10.8
5	8.7	0.46	0.31	2.5	0.126	24	64	0.99746	3.1	0.74	9.6
6	9.4	0.5	0.34	3.6	0.082	5	14	0.9987	3.29	0.52	10.7
